Id,Site,Imt,PoE,Dist,Mag
4,Bishkek,SA(3.0),0.1,25.0,6.5
4,Bishkek,PGA,0.09,15.0,5.5
4,Bishkek,SA(0.1),0.09,15.0,5.5
4,Bishkek,SA(0.2),0.09,15.0,5.5
4,Bishkek,SA(0.5),0.09,15.0,6.5
4,Bishkek,SA(1.0),0.09,25.0,6.5
4,Bishkek,SA(2.0),0.09,15.0,6.5
4,Bishkek,SA(3.0),0.09,15.0,6.5
4,Bishkek,PGA,0.05,15.0,5.5
4,Bishkek,SA(0.1),0.05,15.0,5.5
4,Bishkek,SA(0.2),0.05,15.0,5.5
4,Bishkek,SA(0.5),0.05,15.0,6.5
4,Bishkek,SA(1.0),0.05,15.0,6.5
4,Bishkek,SA(2.0),0.05,15.0,6.5
4,Bishkek,SA(3.0),0.05,15.0,6.5
5,Almaty,PGA,0.86,25.0,5.5
5,Almaty,SA(0.1),0.86,25.0,5.5
5,Almaty,SA(0.2),0.86,25.0,5.5
5,Almaty,SA(0.5),0.86,25.0,5.5
5,Almaty,SA(1.0),0.86,25.0,5.5
5,Almaty,SA(2.0),0.86,25.0,5.5
5,Almaty,SA(3.0),0.86,15.0,5.5
5,Almaty,PGA,0.63,25.0,5.5
5,Almaty,SA(0.1),0.63,25.0,5.5
5,Almaty,SA(0.2),0.63,25.0,5.5
5,Almaty,SA(0.5),0.63,15.0,5.5
5,Almaty,SA(1.0),0.63,15.0,5.5
5,Almaty,SA(2.0),0.63,15.0,5.5
5,Almaty,SA(3.0),0.63,35.0,6.5
5,Almaty,PGA,0.39,25.0,5.5
5,Almaty,SA(0.1),0.39,25.0,5.5
5,Almaty,SA(0.2),0.39,15.0,5.5
5,Almaty,SA(0.5),0.39,15.0,5.5
5,Almaty,SA(1.0),0.39,15.0,5.5
5,Almaty,SA(2.0),0.39,25.0,6.5
5,Almaty,SA(3.0),0.39,25.0,6.5
5,Almaty,PGA,0.18,15.0,5.5
5,Almaty,SA(0.1),0.18,25.0,5.5
5,Almaty,SA(0.2),0.18,15.0,5.5
5,Almaty,SA(0.5),0.18,15.0,5.5
5,Almaty,SA(1.0),0.18,25.0,6.5
5,Almaty,SA(2.0),0.18,25.0,6.5
5,Almaty,SA(3.0),0.18,25.0,6.5
5,Almaty,PGA,0.1,15.0,5.5
5,Almaty,SA(0.1),0.1,15.0,5.5
5,Almaty,SA(0.2),0.1,15.0,5.5
5,Almaty,SA(0.5),0.1,15.0,6.5
5,Almaty,SA(1.0),0.1,15.0,6.5
5,Almaty,SA(2.0),0.1,15.0,6.5
5,Almaty,SA(3.0),0.1,15.0,6.5
5,Almaty,PGA,0.09,15.0,5.5
5,Almaty,SA(0.1),0.09,15.0,5.5
5,Almaty,SA(0.2),0.09,15.0,5.5
5,Almaty,SA(0.5),0.09,15.0,6.5
5,Almaty,SA(1.0),0.09,15.0,6.5
5,Almaty,SA(2.0),0.09,15.0,6.5
5,Almaty,SA(3.0),0.09,15.0,6.5
5,Almaty,PGA,0.05,15.0,5.5
5,Almaty,SA(0.1),0.05,15.0,5.5
5,Almaty,SA(0.2),0.05,15.0,5.5
5,Almaty,SA(0.5),0.05,15.0,6.5
5,Almaty,SA(1.0),0.05,15.0,6.5
5,Almaty,SA(2.0),0.05,15.0,6.5
5,Almaty,SA(3.0),0.05,15.0,6.5
