time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2024-10-06T11:08:56.917Z,53.2876,-167.0436,47.192,4.5,mwr,53,164,0.516,0.68,us,us6000nww1,2024-10-06T19:23:54.444Z,"73 km SSW of Unalaska, Alaska",earthquake,5.83,5.639,0.08,15,reviewed,us,us
2024-10-06T10:19:13.621Z,-40.3183,176.5809,21.42,4.7,mb,35,79,0.442,1.22,us,us6000nwva,2024-10-07T01:45:01.878Z,"42 km ESE of Dannevirke, New Zealand",earthquake,3.85,4.315,0.167,13,reviewed,us,us
2024-10-06T08:34:13.638Z,53.3398,-167.0986,57.264,4.7,mb,48,163,0.473,0.96,us,us6000nwuu,2024-10-06T09:03:39.728Z,"70 km SSW of Unalaska, Alaska",earthquake,4.31,6.148,0.034,263,reviewed,us,us
2024-10-06T06:13:55.023Z,28.0963,139.7675,419.377,4.7,mb,106,31,2.365,0.66,us,us6000nwuh,2024-10-06T07:21:10.005Z,"Bonin Islands, Japan region",earthquake,10.14,7.696,0.026,462,reviewed,us,us
2024-10-06T05:26:36.812Z,12.4167,123.6419,12.022,4.8,mb,46,127,5.646,0.66,us,us6000nwua,2024-10-06T06:06:57.005Z,"5 km NNE of Masbate, Philippines",earthquake,9.91,3.182,0.097,33,reviewed,us,us
2024-10-06T03:26:57.751Z,-33.8077,-72.1083,23.688,4.5,mb,52,146,0.438,0.77,us,us6000nwtt,2024-10-06T03:51:27.005Z,"52 km WSW of San Antonio, Chile",earthquake,4.64,3.858,0.099,30,reviewed,us,us
2024-10-06T02:56:53.287Z,51.6388,175.4597,57.119,4.5,mb,72,198,1.958,0.81,us,us6000nwtm,2024-10-06T03:19:54.005Z,"205 km SE of Attu Station, Alaska",earthquake,13.29,9.77,0.066,67,reviewed,us,us
2024-10-05T23:02:00.488Z,-28.5736,-175.7417,34.954,5.1,mb,30,166,2.029,1.05,us,us6000nwsc,2024-10-05T23:19:19.005Z,"Kermadec Islands region",earthquake,12.16,7.898,0.11,27,reviewed,us,us
2024-10-05T19:15:34.362Z,35.3597,52.8989,10,4.5,mb,52,142,4.934,0.81,us,us6000nwr9,2024-10-07T22:46:32.382Z,"50 km WSW of Semnan, Iran",earthquake,11.1,1.931,0.092,35,reviewed,us,us
2024-10-05T16:08:54.980Z,-41.2983,174.4435,45.497,5.1,mww,173,24,0.197,1.1,us,us6000nwqg,2024-10-08T17:55:20.641Z,"25 km W of Karori, New Zealand",earthquake,4.15,3.766,0.08,15,reviewed,us,us
2024-10-05T14:40:33.181Z,9.964,126.433,15.09,4.9,mb,156,43,2.997,0.54,us,us6000nwq6,2024-10-10T15:09:06.005Z,"38 km ENE of Pilar, Philippines",earthquake,8.23,3.38,0.046,151,reviewed,us,us
2024-10-05T12:50:42.585Z,53.2363,-167.1235,47.041,5.4,mww,78,124,0.504,0.79,us,us6000nwpv,2024-10-10T13:00:58.286Z,"81 km SSW of Unalaska, Alaska",earthquake,7.04,6.203,0.066,22,reviewed,us,us
2024-10-05T12:50:23.838Z,53.0819,-166.98,35,5.1,mwr,64,135,0.649,0.63,us,us6000nwq0,2024-10-08T19:14:51.133Z,"93 km SSW of Unalaska, Alaska",earthquake,3.92,1.931,0.066,22,reviewed,us,us
2024-10-05T12:08:12.354Z,37.6351,-31.6445,10,4.8,mb,66,83,4.855,0.89,us,us6000nwpm,2024-10-05T12:52:27.005Z,"197 km SSW of Lajes das Flores, Portugal",earthquake,11.06,1.872,0.067,69,reviewed,us,us
2024-10-05T11:45:30.324Z,-17.3967,-173.4475,40.756,5.4,mb,62,50,3.739,1.37,us,us6000nwpi,2024-10-08T16:48:28.494Z,"150 km NNE of Neiafu, Tonga",earthquake,8.71,6.769,0.034,300,reviewed,us,us
2024-10-05T11:19:10.520Z,-18.7626,-177.5599,371.448,4.5,mb,49,79,3.57,0.66,us,us6000nwpf,2024-10-06T08:07:07.005Z,"Fiji region",earthquake,11.85,7.842,0.081,44,reviewed,us,us
2024-10-05T10:42:25.088Z,-19.3469,-172.5407,10,4.9,mb,48,87,2.484,0.65,us,us6000nwpd,2024-10-05T11:21:59.005Z,"170 km ESE of Neiafu, Tonga",earthquake,8.36,1.859,0.087,41,reviewed,us,us
